id,name,brand,street,place,lat,lng,city_search
211f458a-83a7-4406-850b-241393f7df48,TotalEnergies Oberhausen,TotalEnergies,Biefangstr.,Oberhausen,51.513599,6.827426,Oberhausen
cd138abb-073d-425a-af34-5328e3a751b0,AVIA Truck,AVIA Truck,Sympher Straße,Duisburg,51.45815,6.778842,Oberhausen
0ce04456-2828-40ca-bac8-d7346d2c8a7c,Aral Tankstelle,ARAL,Teutoburger Straße,Oberhausen,51.516624,6.857246,Oberhausen
005056ba-7cb6-1ed2-bceb-6f7b23564d23,ORLEN Tankstelle,ORLEN,Duisburger Straße,Duisburg,51.490025,6.783005,Oberhausen
441a2e79-f224-4d9d-a363-403ac280b0d9,OIL! Tankstelle Oberhausen,OIL!,Teutoburger Straße 154,Oberhausen,51.5159,6.87309,Essen
9358a9f7-f41e-4756-9d7a-4f59cbdb2484,Esso Tankstelle,ESSO,AKTIENSTR. 34 A,ESSEN,51.45958436,6.927510828,Essen
ba42b812-54c1-4a3f-1e99-56e2d5081047,Tankstelle Bily GmbH,Tankstelle Bily GmbH & CO KG,Saaner Str.,Mühlheim a.d. Ruhr,51.421102,6.846265,Oberhausen
aded7611-3b72-4e8b-8e07-dc08e200e409,TotalEnergies Duisburg,TotalEnergies,Bgm.-Puetz-Str.,Duisburg,51.463548,6.773462,Oberhausen
d6a16688-3775-4822-b7d6-bfe23c06a672,Shell Duisburg Biesenstr. 40,Shell,Biesenstr.,Duisburg,51.469357,6.772324,Oberhausen
b1a67e95-0c0d-4010-a4b7-c370cbc4b2bc,Esso Tankstelle,ESSO,MUELHEIMER STR. 151,DUISBURG,51.433637,6.794265,Oberhausen
51d4b699-a095-1aa0-e100-80009459e03a,JET OBERHAUSEN WEIERSTR. 96,JET,WEIERSTR.,OBERHAUSEN,51.52005,6.82984,Oberhausen
221c5c2c-5256-4434-bba8-7b70a2fa7df6,Shell Oberhausen Dorstener Str. 253,Shell,Dorstener Str.,Oberhausen,51.521617,6.861108,Oberhausen
005056ba-7cb6-1ed2-bceb-78b72ae8cd26,star Tankstelle,STAR,Mülheimer Straße,Duisburg,51.432796,6.784191,Oberhausen
e3847b06-6c52-4de2-a8ce-84d97ec13a4e,Shell Oberhausen Weseler Str. 51,Shell,Weseler Str.,Oberhausen,51.525355,6.841736,Oberhausen
c55c029c-7723-40b7-8245-e6223fc4cf93,Aral Tankstelle,ARAL,Frintroper Straße,Essen,51.462673,6.941557,Essen
03d787d4-ffdf-4de4-83d7-81fe76e79a59,Aral Tankstelle,ARAL,Kardinal-Galen-Straße,Duisburg,51.43743,6.776241,Oberhausen
efa5312a-ecff-4a2c-9628-0901c80bc1eb,Jörg Wozniak,Markant,Sternbuschweg,Duisburg,51.42652,6.79121,Oberhausen
9eb94d55-0805-4c4d-9fce-0ee46455326d,Esso Tankstelle,ESSO,STERKRADER STR. 213,BOTTROP,51.520427,6.894371,Essen
